listing_id,neighborhood,host_since,superhost,host_acceptance_rate,host_total_listings,room_type,accommodates,bathrooms,bedrooms,beds,min_nights,total_reviews,avg_rating,price
373,Capitol Hill,1/6/2016,T,1,18,Entire home/apt,4,1 bath,1,2,31,25,4.76,561
377,Capitol Hill,12/23/2015,T,0.74,1,Entire home/apt,6,3.5 baths,4,4,31,41,4.95,200
378,Georgetown,3/12/2016,F,0.88,1,Entire home/apt,3,1 bath,1,1,31,148,4.82,200
382,Dupont Circle,6/15/2015,T,0.77,4,Entire home/apt,9,3 baths,4,5,4,20,5,1228
383,Union Station,3/16/2016,T,1,3,Entire home/apt,4,2.5 baths,2,2,2,216,4.89,221
384,Foggy Bottom,2/10/2016,F,1,6,Entire home/apt,4,1 bath,1,2,1,320,4.78,152
385,Foggy Bottom,2/10/2016,F,1,6,Entire home/apt,4,1 bath,1,1,1,360,4.78,185
387,Capitol Hill,11/27/2013,T,1,30,Entire home/apt,6,1.5 baths,2,3,31,27,4.96,315
389,Foggy Bottom,5/11/2013,F,,1,Entire home/apt,1,1 bath,,1,31,3,4,200
390,Capitol Hill,11/27/2013,T,1,30,Entire home/apt,4,1 bath,1,2,31,55,4.78,224
391,Shaw,1/13/2013,F,,2,Private room,1,1 bath,1,1,31,1,5,100
394,Dupont Circle,4/27/2013,F,0,5,Entire home/apt,3,1 bath,1,1,31,14,4.77,102
397,Capitol Hill,4/5/2016,T,1,1,Entire home/apt,3,1 bath,1,1,3,491,4.93,115
400,Capitol Hill,11/27/2013,T,1,30,Entire home/apt,4,1 bath,,2,31,49,4.84,178
401,Capitol Hill,11/27/2013,T,1,30,Entire home/apt,2,1 bath,,1,31,46,4.59,178
402,Capitol Hill,4/24/2012,T,1,1,Entire home/apt,2,1 bath,1,2,3,322,4.97,98
406,Union Station,5/8/2015,T,0.91,1,Entire home/apt,4,1 bath,1,2,4,70,4.97,200
407,Capitol Hill,4/18/2016,F,0,1,Entire home/apt,3,1 bath,1,1,31,26,4.81,225
408,Union Station,4/19/2015,T,1,1,Entire home/apt,6,1.5 baths,3,4,4,87,4.99,412
409,Capitol Hill,4/20/2016,F,1,2,Entire home/apt,2,1 bath,,1,31,10,5,150
413,Capitol Hill,9/22/2015,T,1,1,Entire home/apt,2,1 bath,,1,2,172,4.91,170
415,Capitol Hill,11/27/2013,T,1,30,Entire home/apt,4,1 bath,2,2,31,11,5,350
416,Dupont Circle,2/15/2013,T,1,1,,4,1 bath,1,1,1,432,4.88,175
417,Capitol Hill,11/27/2013,T,1,30,Entire home/apt,4,1 bath,1,2,31,9,4.67,230
418,Capitol Hill,11/27/2013,T,1,30,Entire home/apt,4,1 bath,1,2,31,29,4.9,133
420,Union Station,5/5/2016,F,,1,Entire home/apt,2,1 bath,1,1,31,90,4.84,80
421,Georgetown,5/6/2016,F,,4,Entire home/apt,5,2.5 baths,2,3,365,1,4,250
424,Dupont Circle,2/19/2015,F,1,16,Entire home/apt,5,1 bath,2,2,91,13,4.38,84
427,Capitol Hill,11/27/2013,T,1,30,Entire home/apt,4,1 bath,1,2,31,47,4.89,201
428,Georgetown,5/18/2009,F,0.99,164,Entire home/apt,4,1 bath,2,3,31,78,4.73,143
429,Union Station,5/19/2016,T,1,1,Entire home/apt,4,1 bath,,3,1,567,4.76,109
430,Capitol Hill,5/28/2015,F,,1,Entire home/apt,4,1 bath,,2,31,3,4.67,105
434,Dupont Circle,6/1/2016,T,0.46,3,Entire home/apt,6,1 bath,2,2,31,293,4.94,165
435,Capitol Hill,4/13/2015,F,,1,Entire home/apt,4,1 bath,2,2,31,2,0,190
438,Capitol Hill,10/7/2011,F,0.99,19,Entire home/apt,6,2.5 baths,2,3,31,219,4.84,263
439,Capitol Hill,10/7/2011,F,0.99,19,Entire home/apt,2,1 bath,1,1,4,203,4.7,139
440,Capitol Hill,10/7/2011,F,0.99,19,Entire home/apt,8,3.5 baths,3,3,31,27,4.85,295
444,Union Station,2/22/2016,F,,1,Entire home/apt,4,2 baths,3,2,31,72,4.86,150
